date,open,high,low,close,volume
20/04/2015,37.7037,37.8315,37.5519,37.6158,2670135
21/04/2015,37.7037,37.7596,37.536,37.7276,2602234
22/04/2015,37.2405,37.4561,37.0785,37.1925,4208009
23/04/2015,36.8092,37.0568,36.7054,36.9849,5588697
24/04/2015,36.921,37.3762,36.8332,37.2085,3279134
27/04/2015,37.8794,38.1349,37.3682,37.4162,5544605
28/04/2015,37.5519,37.7037,37.1846,37.5599,5305918
29/04/2015,37.3762,37.5998,37.1886,37.3682,3340400
30/04/2015,37.0328,37.2085,36.8092,36.8571,3825792
01/05/2015,36.8252,36.8332,36.5456,36.7134,3601882
04/05/2015,36.8172,37.2085,36.8172,37.0089,2695755
05/05/2015,37.0248,37.0887,36.3859,36.4179,3486811
06/05/2015,37.3283,37.3443,36.5856,36.7533,7418833
07/05/2015,35.6671,35.6831,35.14,35.3157,9212865
08/05/2015,36.3061,36.4818,36.0904,36.1623,6078914
11/05/2015,36.7134,36.7773,36.4259,36.5137,4898936
12/05/2015,36.1144,36.2541,36.0026,36.1543,3596283
13/05/2015,36.3308,36.436,36.0234,36.0314,4185000
14/05/2015,36.436,36.5331,36.2418,36.4037,3080357
15/05/2015,36.1205,36.258,35.9586,36.2256,2347828
18/05/2015,36.0638,36.343,36.0476,36.1366,2646494
19/05/2015,36.0314,36.2985,35.9991,36.1528,2640489
20/05/2015,36.3956,36.4405,36.2053,36.3146,2623825
21/05/2015,36.9296,36.9377,36.703,36.8649,3772322
22/05/2015,36.8487,36.9377,36.5898,36.6221,2937742
26/05/2015,36.0314,36.0557,35.3801,35.4731,5154689
27/05/2015,35.6754,36.1002,35.6026,36.0962,2965582
28/05/2015,35.9991,36.258,35.9182,36.2418,1895670
29/05/2015,36.1528,36.1609,35.813,35.902,3236429
01/06/2015,35.9343,35.9748,35.6026,35.724,3004537
02/06/2015,35.7563,35.9667,35.6269,35.7968,2447902
03/06/2015,35.6188,35.8049,35.6026,35.6269,5130263
04/06/2015,35.2789,35.465,34.8096,34.8986,6708003
05/06/2015,34.5992,34.6275,34.4051,34.4374,5352664
08/06/2015,34.4455,34.4617,34.1219,34.1785,4565197
09/06/2015,34.1623,34.2594,33.9438,34.1138,3186786
10/06/2015,34.4941,34.8096,34.4536,34.7368,6321704
11/06/2015,34.8986,35.0766,34.7287,34.9553,3988620
12/06/2015,34.6073,34.7449,34.4536,34.5588,1829539
15/06/2015,33.9762,34.1622,33.9115,34.1057,3043568
16/06/2015,34.5264,34.7287,34.4536,34.7125,6140887
17/06/2015,34.6802,34.7731,34.4131,34.7044,3768614
18/06/2015,34.7044,35.1495,34.7044,34.9715,4571926
19/06/2015,34.8905,34.9795,34.8096,34.842,3844867
22/06/2015,35.198,35.2951,35.0847,35.1576,5225677
23/06/2015,35.1252,35.2304,34.9957,35.1009,3103168
24/06/2015,34.9391,35.1802,34.9391,35.0686,3513822
25/06/2015,34.9795,35.2547,34.8744,35.2061,5484430
26/06/2015,35.0362,35.0605,34.6469,34.7044,3716764
29/06/2015,34.4617,34.6073,33.9843,34.0086,2413696
30/06/2015,34.1461,34.1542,33.5919,33.7011,5377956
01/07/2015,34.1623,34.2756,33.9438,34.0976,2926298
02/07/2015,34.2513,34.3079,34.0409,34.1947,2103906
06/07/2015,33.9357,34.121,33.8063,33.9438,2051599
07/07/2015,33.7254,33.8848,33.3248,33.8306,6798110
08/07/2015,33.6525,33.6975,33.3936,33.4664,2342172
09/07/2015,34.1542,34.2189,33.8144,33.8225,8908419
10/07/2015,34.3646,34.4698,34.1866,34.3484,4576728
13/07/2015,34.8096,34.8339,34.6466,34.7044,3719793
14/07/2015,35.0119,35.1171,34.842,35.0686,6130479
15/07/2015,35.0119,35.02,34.8015,34.8905,3734738
16/07/2015,34.8177,34.9611,34.7934,34.8744,2237836
17/07/2015,34.5264,34.8015,34.4657,34.7611,2795643
20/07/2015,34.7773,34.931,34.664,34.8096,4966661
21/07/2015,34.5183,34.6316,34.4374,34.4941,2865908
22/07/2015,34.2028,34.308,34.1057,34.227,2065810
23/07/2015,34.138,34.1866,33.8993,33.9843,3113827
24/07/2015,33.9681,33.9762,33.4017,33.4907,2773114
27/07/2015,33.5554,33.693,33.4016,33.6606,2644517
28/07/2015,33.5393,33.7982,33.3774,33.7496,3928575
29/07/2015,34.7125,34.8501,34.4698,34.486,9436470
30/07/2015,35.0119,35.3194,34.8744,35.2708,7694064
31/07/2015,35.3437,35.3679,35.0928,35.1495,4247055
03/08/2015,35.2789,35.3598,34.9553,35.2061,2872637
04/08/2015,35.5055,35.5621,35.0766,35.1576,3173577
05/08/2015,35.4893,35.8453,35.4124,35.7402,3662239
06/08/2015,36.784,36.8082,36.2904,36.3308,9345767
07/08/2015,36.1366,36.2904,35.9627,36.2661,3843614
10/08/2015,36.3632,36.6707,36.3308,36.525,3835500
11/08/2015,36.08,36.2782,36.0557,36.2337,4098852
12/08/2015,36.0276,36.1588,35.626,36.126,3739537
13/08/2015,36.167,36.2326,35.9047,35.9784,4419795
14/08/2015,35.8719,36.0604,35.8391,36.044,1892010
17/08/2015,35.9539,36.2408,35.8719,36.1998,1872870
18/08/2015,36.0932,36.1752,35.9948,36.0194,1887657
19/08/2015,35.7325,35.7571,35.3554,35.4948,2528115
20/08/2015,35.3145,35.3964,35.003,35.0112,3144504
21/08/2015,34.5521,34.6751,33.7815,33.7979,3990821
24/08/2015,32.7405,33.6995,32.2568,32.929,6137181
25/08/2015,33.675,33.6996,32.306,32.306,4794496
26/08/2015,33.1831,33.1995,32.1912,33.1749,4762581
27/08/2015,33.4291,33.8798,33.3471,33.7815,3955035
28/08/2015,33.3307,33.8348,33.2487,33.8143,2739493
31/08/2015,33.7324,33.9209,33.5356,33.552,1675352
